商品,订单号,订单状态,商品数量(件),是否审核中,支付时间,承诺发货时间,承诺送达时间,发货时间,确认收货时间,商品id,商品规格,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商家编码-规格维度,商家编码-商品维度,商家备注,买家留言,售后状态,消费者资料,订单成交时间,消费者资料上传时间,赠品名称,赠品id,赠品规格,赠品数量,团ID,团身份,是否已开始配送,配送员是否已送达,配送状态,同城是否普通快递,集运类型,赠品订单号,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),用户实付金额(元),商家实收金额(元),快递单号,快递公司,省,市,区,街道/镇,配送员手机号,是否抽奖或0元试用,是否顺丰加价,用户购买手机号,旅行类信息,充值号码,是否门店自提,门店名称,门店自定义编码,关联货品编码,货品名称,货品类型,子货品,仓库名称,仓库所在地址,海淘清关订单号,支付ID,支付方式,保税仓,是否直播间成交,是否直播间引导成交,预约配送时间,是否节能补贴,是否分期,分期期数,手续费承担方,是否无痕发货,订单来源,是否社区团购,小区送达情况,分期方式,是否已上传证件照片,是否支持上传识别码,识别码上传状态
红豆女童冰丝安全裤儿童内裤三合一防走光夏薄款宝宝打底平角短裤,260519-667921968672615,已发货，待收货,1	,正常,2026-05-19 11:26:55,2026-05-21 11:26:55,,2026-05-19 14:53:27,	,944559239031	,"白色+肤色+绿色【给肌肤降个温-冰感清爽】,140【50-60斤】凉感冰丝",1890729823186	,童装/婴儿装/亲子装,儿童内衣裤,内裤,	,YXT-HD25T0001-白色肤色绿色-140,源鑫泰-HD25T0001,	,	,无售后或售后取消,,2026-05-19 11:26:55,	,,,,,,,否,否,	,否,	,,41.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,41.0	,41.0	,465352713376094	,韵达快递,黑龙江省,佳木斯市,其他区,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆女童冰丝安全裤儿童内裤三合一防走光夏薄款宝宝打底平角短裤,260519-035064389132781,已发货，待收货,1	,正常,2026-05-19 11:03:38,2026-05-21 11:03:38,,2026-05-19 14:53:27,	,944559239031	,"白色+粉色+绿色【给肌肤降个温-冰感清爽】,120【30-40斤】三合一安全裤",1890729823177	,童装/婴儿装/亲子装,儿童内衣裤,内裤,	,YXT-HD25T0001-白色粉色绿色-120,源鑫泰-HD25T0001,	,	,无售后或售后取消,,2026-05-19 11:03:38,	,,,,,,,否,否,	,否,	,,41.0	,0.0	,1.0	,0.5	,0.0	,0.0	,0.0	,0.0	,39.5	,40.0	,465352713377023	,韵达快递,青海省,西宁市,城北区,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆二三阶段发育期少女内衣减震提拉定型初高中学生无痕冰丝文胸,260519-655485836811480,未发货，退款成功,1	,正常,2026-05-19 09:02:23,2026-05-21 09:02:24,,	,	,943740862305	,"香槟白+浅蓝色【无痕稳支撑-预留发育空间】,XL【95-115斤】半固定内杯-包裹贴合",1890024626725	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,ZH1535-香槟白浅蓝色-04,ZH1535,	,	,退款成功,,2026-05-19 09:02:24,	,,,,,,,否,否,	,否,	,,59.8	,0.0	,0.0	,8.37	,0.0	,0.0	,0.0	,0.0	,51.43	,59.8	,	,	,****,****,****,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸初高中学生运动防震青春发育期女孩透气背心式内衣女,260519-648753989273009,已发货，退款成功,1	,正常,2026-05-19 08:05:04,2026-05-21 08:05:05,	,2026-05-19 16:21:43,	,945002317563	,"2件D组【少女发育期-工字背稳包裹-内置交叉带】,2XL【125-135斤】吸湿排汗",1891156559987	,童装/婴儿装/亲子装,背心吊带,背心吊带,	,ZH1532-香槟白浅粉色-05,志合-ZH1532,	,	,退款成功,,2026-05-19 08:05:05,	,,,,,,,否,否,	,否,	,,58.8	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,58.8	,58.8	,79106359890539	,中通快递,****,****,****,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女粉底液隐形内衣女学生初高中青春发育期背心运动防震文胸,260519-126259085621401,已发货，退款成功,1	,正常,2026-05-19 07:44:30,2026-05-21 07:44:30,,2026-05-19 16:21:43,	,944963830288	,"2条I组【舒适-自在-透气-零束缚】,3XL【145-165斤】桑蚕丝养肤透气",1891118074813	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,ZHW5109-肤色粉底液肤-06,志合-ZHW5109,	,	,退款成功,,2026-05-19 07:44:30,	,,,,,,,否,否,	,否,	,,62.5	,0.0	,1.0	,0.5	,0.0	,0.0	,0.0	,0.0	,61.0	,61.5	,79106359884364	,中通快递,****,****,****,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女发育期内衣初高中学生运动防震背心青少年青春期无痕文胸,260519-150323873370999,已发货，退款成功,1	,正常,2026-05-19 02:10:26,2026-05-21 02:10:27,,2026-05-19 14:53:27,	,953110765144	,"【白色+隐形肤+香槟肤】3件A类亲肤-二三阶段少女发育期,XL【95-110斤】触感柔软",1899795087663	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,	,源鑫泰-A30,	,	,退款成功,,2026-05-19 02:10:27,	,,,,,,,否,否,	,否,	,,86.2	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,86.2	,86.2	,465352713276908	,韵达快递,****,****,****,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆初高中少女文胸青春发育期学生运动内衣二三阶段女童无痕背心,260518-142973355603164,已收货，退款成功,1	,正常,2026-05-18 23:55:05,2026-05-20 23:55:05,,2026-05-19 16:21:43,2026-05-20 18:50:07,941062497743	,"【2件】浅蓝色+粉底液肤（无痕冰丝-软糯小奶皮）,M【60-85斤】0.5cm3D立体罩杯",1896547858457	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,HXB-HZ253Y005-浅蓝色粉底液肤-02,HZ253Y005,	,	,退款成功,,2026-05-18 23:55:05,	,,,,,,,否,否,	,否,	,,60.4	,0.0	,1.0	,0.5	,0.0	,0.0	,0.0	,0.0	,58.9	,59.4	,79106286850119	,中通快递,****,****,****,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女发育期内衣初高中学生运动防震背心青少年青春期无痕文胸,260518-486098911571495,已发货，待收货,1	,正常,2026-05-18 23:54:56,2026-05-20 23:54:56,,2026-05-19 14:53:27,	,953110765144	,"【白色+粉色+香槟肤】3件A类亲肤-二三阶段少女发育期,L【85-95斤】超高弹力",1899795087677	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,	,源鑫泰-A30,	,	,无售后或售后取消,,2026-05-18 23:54:56,	,,,,,,,否,否,	,否,	,,86.2	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,86.2	,86.2	,465352713162499	,韵达快递,江苏省,盐城市,东台市,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸发育期初高中学生运动防震内衣冰丝无痕软支撑背心,260518-054337226280114,已发货，待收货,1	,正常,2026-05-18 22:49:58,2026-05-20 22:49:58,,2026-05-19 16:21:43,	,943394538149	,"2件B组【A类婴幼儿-少女发育期人体工学款】,L【75-95斤】10000+透气孔",1890000646675	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,ZH1534-浅粉色奶黄色-03,ZH1534,	,	,无售后或售后取消,,2026-05-18 22:49:58,	,,,,,,,否,否,	,否,	,,62.5	,0.0	,0.0	,3.12	,0.0	,0.0	,0.0	,0.0	,59.38	,62.5	,79106285815526	,中通快递,北京市,北京市,大兴区,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸发育期初高中学生运动防震内衣冰丝无痕软支撑背心,260518-021118348840114,未发货，退款成功,1	,正常,2026-05-18 22:49:13,2026-05-20 22:49:13,,	,	,943394538149	,"2件A组【A类婴幼儿-少女发育期人体工学款】,M【60-75斤】反重力引力交叉提拉带",1889999234370	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,ZH1534-浅蓝色奶黄色-02,ZH1534,	,	,退款成功,,2026-05-18 22:49:13,	,,,,,,,否,否,	,否,	,,62.5	,0.0	,0.0	,3.12	,0.0	,0.0	,0.0	,0.0	,59.38	,62.5	,	,	,****,****,****,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
